uid,name,source_metadata,metadata_descriptor,url,insert_date
1,refGene,"NCBI Homo sapiens Annotation Release 109 (2018-03-29),","version,",ftp://hgdownload.soe.ucsc.edu/goldenPath/hg38/database/refGene.txt.gz,2019-11-24 04:55:54
2,ENCODE,"ENCFF782SGI,","accession,",https://www.encodeproject.org/files/ENCFF782SGI/@@download/ENCFF782SGI.bed.gz,2019-11-24 05:00:50
3,ENCODE,"ENCFF146URA,","accession,",https://www.encodeproject.org/files/ENCFF146URA/@@download/ENCFF146URA.bed.gz,2019-11-24 05:00:50
4,ENCODE,"ENCFF373DVN,","accession,",https://www.encodeproject.org/files/ENCFF373DVN/@@download/ENCFF373DVN.bed.gz,2019-11-24 05:01:18
5,ENCODE,"ENCFF767LMP,","accession,",https://www.encodeproject.org/files/ENCFF767LMP/@@download/ENCFF767LMP.bed.gz,2019-11-24 05:01:18
6,ENCODE,"ENCFF661IIS,","accession,",https://www.encodeproject.org/files/ENCFF661IIS/@@download/ENCFF661IIS.bed.gz,2019-11-24 05:01:18
7,ENCODE,"ENCFF981HPG,","accession,",https://www.encodeproject.org/files/ENCFF981HPG/@@download/ENCFF981HPG.bed.gz,2019-11-24 05:01:18
8,ENCODE,"ENCFF668UDC,","accession,",https://www.encodeproject.org/files/ENCFF668UDC/@@download/ENCFF668UDC.bed.gz,2019-11-24 05:01:18
9,ENCODE,"ENCFF992DNN,","accession,",https://www.encodeproject.org/files/ENCFF992DNN/@@download/ENCFF992DNN.bed.gz,2019-11-24 05:01:18
10,ENCODE,"ENCFF444KIX,","accession,",https://www.encodeproject.org/files/ENCFF444KIX/@@download/ENCFF444KIX.bed.gz,2019-11-24 05:01:18
11,ENCODE,"ENCFF867LEE,","accession,",https://www.encodeproject.org/files/ENCFF867LEE/@@download/ENCFF867LEE.bed.gz,2019-11-24 05:01:18
12,ENCODE,"ENCFF372DVA,","accession,",https://www.encodeproject.org/files/ENCFF372DVA/@@download/ENCFF372DVA.bed.gz,2019-11-24 05:01:18
13,ENCODE,"ENCFF973KKY,","accession,",https://www.encodeproject.org/files/ENCFF973KKY/@@download/ENCFF973KKY.bed.gz,2019-11-24 05:01:18
14,ENCODE,"ENCFF897UFD,","accession,",https://www.encodeproject.org/files/ENCFF897UFD/@@download/ENCFF897UFD.bed.gz,2019-11-24 05:01:18
15,ENCODE,"ENCFF866EIC,","accession,",https://www.encodeproject.org/files/ENCFF866EIC/@@download/ENCFF866EIC.bed.gz,2019-11-24 05:01:18
16,ENCODE,"ENCFF486UBE,","accession,",https://www.encodeproject.org/files/ENCFF486UBE/@@download/ENCFF486UBE.bed.gz,2019-11-24 05:01:18
17,ENCODE,"ENCFF788RFY,","accession,",https://www.encodeproject.org/files/ENCFF788RFY/@@download/ENCFF788RFY.bed.gz,2019-11-24 05:01:18
18,ENCODE,"ENCFF725FJK,","accession,",https://www.encodeproject.org/files/ENCFF725FJK/@@download/ENCFF725FJK.bed.gz,2019-11-24 05:01:18
19,ENCODE,"ENCFF687WWO,","accession,",https://www.encodeproject.org/files/ENCFF687WWO/@@download/ENCFF687WWO.bed.gz,2019-11-24 05:01:18
20,ENCODE,"ENCFF552XDP,","accession,",https://www.encodeproject.org/files/ENCFF552XDP/@@download/ENCFF552XDP.bed.gz,2019-11-24 05:01:18
21,ENCODE,"ENCFF769PHB,","accession,",https://www.encodeproject.org/files/ENCFF769PHB/@@download/ENCFF769PHB.bed.gz,2019-11-24 05:01:18
22,ENCODE,"ENCFF129YTH,","accession,",https://www.encodeproject.org/files/ENCFF129YTH/@@download/ENCFF129YTH.bed.gz,2019-11-24 05:01:18
23,ENCODE,"ENCFF153EBU,","accession,",https://www.encodeproject.org/files/ENCFF153EBU/@@download/ENCFF153EBU.bed.gz,2019-11-24 05:01:18
24,ENCODE,"ENCFF668SIT,","accession,",https://www.encodeproject.org/files/ENCFF668SIT/@@download/ENCFF668SIT.bed.gz,2019-11-24 05:01:18
25,ENCODE,"ENCFF951SRP,","accession,",https://www.encodeproject.org/files/ENCFF951SRP/@@download/ENCFF951SRP.bed.gz,2019-11-24 05:01:18
26,ENCODE,"ENCFF833YST,","accession,",https://www.encodeproject.org/files/ENCFF833YST/@@download/ENCFF833YST.bed.gz,2019-11-24 05:01:18
27,ENCODE,"ENCFF036SCR,","accession,",https://www.encodeproject.org/files/ENCFF036SCR/@@download/ENCFF036SCR.bed.gz,2019-11-24 05:01:18
28,ENCODE,"ENCFF374MIO,","accession,",https://www.encodeproject.org/files/ENCFF374MIO/@@download/ENCFF374MIO.bed.gz,2019-11-24 05:01:18
29,ENCODE,"ENCFF801TOC,","accession,",https://www.encodeproject.org/files/ENCFF801TOC/@@download/ENCFF801TOC.bed.gz,2019-11-24 05:01:18
30,ENCODE,"ENCFF239WMO,","accession,",https://www.encodeproject.org/files/ENCFF239WMO/@@download/ENCFF239WMO.bed.gz,2019-11-24 05:01:18
31,ENCODE,"ENCFF016OGE,","accession,",https://www.encodeproject.org/files/ENCFF016OGE/@@download/ENCFF016OGE.bed.gz,2019-11-24 05:01:18
32,ENCODE,"ENCFF341UHT,","accession,",https://www.encodeproject.org/files/ENCFF341UHT/@@download/ENCFF341UHT.bed.gz,2019-11-24 05:01:18
33,ENCODE,"ENCFF142JXX,","accession,",https://www.encodeproject.org/files/ENCFF142JXX/@@download/ENCFF142JXX.bed.gz,2019-11-24 05:01:18
34,ENCODE,"ENCFF336ZND,","accession,",https://www.encodeproject.org/files/ENCFF336ZND/@@download/ENCFF336ZND.bed.gz,2019-11-24 05:01:18
35,ENCODE,"ENCFF393VDG,","accession,",https://www.encodeproject.org/files/ENCFF393VDG/@@download/ENCFF393VDG.bed.gz,2019-11-24 05:01:18
36,ENCODE,"ENCFF509NRY,","accession,",https://www.encodeproject.org/files/ENCFF509NRY/@@download/ENCFF509NRY.bed.gz,2019-11-24 05:01:18
37,ENCODE,"ENCFF254NYT,","accession,",https://www.encodeproject.org/files/ENCFF254NYT/@@download/ENCFF254NYT.bed.gz,2019-11-24 05:01:18
38,ENCODE,"ENCFF693MYU,","accession,",https://www.encodeproject.org/files/ENCFF693MYU/@@download/ENCFF693MYU.bed.gz,2019-11-24 05:01:18
39,ENCODE,"ENCFF611MLV,","accession,",https://www.encodeproject.org/files/ENCFF611MLV/@@download/ENCFF611MLV.bed.gz,2019-11-24 05:01:18
40,ENCODE,"ENCFF199TXU,","accession,",https://www.encodeproject.org/files/ENCFF199TXU/@@download/ENCFF199TXU.bed.gz,2019-11-24 05:01:18
41,ENCODE,"ENCFF113XGW,","accession,",https://www.encodeproject.org/files/ENCFF113XGW/@@download/ENCFF113XGW.bed.gz,2019-11-24 05:01:18
42,ENCODE,"ENCFF805FIF,","accession,",https://www.encodeproject.org/files/ENCFF805FIF/@@download/ENCFF805FIF.bed.gz,2019-11-24 05:01:18
43,ENCODE,"ENCFF639IZT,","accession,",https://www.encodeproject.org/files/ENCFF639IZT/@@download/ENCFF639IZT.bed.gz,2019-11-24 05:01:18
44,ENCODE,"ENCFF412TMX,","accession,",https://www.encodeproject.org/files/ENCFF412TMX/@@download/ENCFF412TMX.bed.gz,2019-11-24 05:01:18
45,ENCODE,"ENCFF858LBR,","accession,",https://www.encodeproject.org/files/ENCFF858LBR/@@download/ENCFF858LBR.bed.gz,2019-11-24 05:01:18
46,ENCODE,"ENCFF809TPY,","accession,",https://www.encodeproject.org/files/ENCFF809TPY/@@download/ENCFF809TPY.bed.gz,2019-11-24 05:01:18
47,ENCODE,"ENCFF396UUU,","accession,",https://www.encodeproject.org/files/ENCFF396UUU/@@download/ENCFF396UUU.bed.gz,2019-11-24 05:01:18
48,ENCODE,"ENCFF625CSU,","accession,",https://www.encodeproject.org/files/ENCFF625CSU/@@download/ENCFF625CSU.bed.gz,2019-11-24 05:01:18
49,ENCODE,"ENCFF907KEJ,","accession,",https://www.encodeproject.org/files/ENCFF907KEJ/@@download/ENCFF907KEJ.bed.gz,2019-11-24 05:01:18
50,ENCODE,"ENCFF808WUX,","accession,",https://www.encodeproject.org/files/ENCFF808WUX/@@download/ENCFF808WUX.bed.gz,2019-11-24 05:01:18
51,ENCODE,"ENCFF380WOL,","accession,",https://www.encodeproject.org/files/ENCFF380WOL/@@download/ENCFF380WOL.bed.gz,2019-11-24 05:01:18
52,ENCODE,"ENCFF620KKE,","accession,",https://www.encodeproject.org/files/ENCFF620KKE/@@download/ENCFF620KKE.bed.gz,2019-11-24 05:01:18
53,ENCODE,"ENCFF072UWP,","accession,",https://www.encodeproject.org/files/ENCFF072UWP/@@download/ENCFF072UWP.bed.gz,2019-11-24 05:01:18
54,ENCODE,"ENCFF223ZXD,","accession,",https://www.encodeproject.org/files/ENCFF223ZXD/@@download/ENCFF223ZXD.bed.gz,2019-11-24 05:01:18
55,ENCODE,"ENCFF729QNR,","accession,",https://www.encodeproject.org/files/ENCFF729QNR/@@download/ENCFF729QNR.bed.gz,2019-11-24 05:01:18
56,ENCODE,"ENCFF179YWB,","accession,",https://www.encodeproject.org/files/ENCFF179YWB/@@download/ENCFF179YWB.bed.gz,2019-11-24 05:01:18
57,ENCODE,"ENCFF148UOD,","accession,",https://www.encodeproject.org/files/ENCFF148UOD/@@download/ENCFF148UOD.bed.gz,2019-11-24 05:01:18
