uid,name,X_chroms,Y_chroms,treatment,cell_line,cancer
674,MCF 10A,2,0,0,1,0
584,H4,1,1,0,1,1
19,adrenal gland female adult (51 years),2,0,0,0,0
362,adrenal gland male embryo (101 days),1,1,0,0,0
111,angular gyrus male adult (81 years),1,1,0,0,0
25,ascending aorta female adult (51 years),2,0,0,0,0
647,B cell male adult (21 years),1,1,0,0,0
46,body of pancreas female adult (51 years),2,0,0,0,0
403,brain male embryo (101 days),1,1,0,0,0
80,breast epithelium female adult (51 years),2,0,0,0,0
133,caudate nucleus male adult (81 years),1,1,0,0,0
706,CD14-positive monocyte male adult (21 years),1,1,0,0,0
637,"CD4-positive, alpha-beta T cell male adult (21 years)",1,1,0,0,0
655,"CD8-positive, alpha-beta T cell male adult (21 years)",1,1,0,0,0
166,cingulate gyrus male adult (81 years),1,1,0,0,0
47,coronary artery female adult (51 years),2,0,0,0,0
13,esophagus muscularis mucosa female adult (51 years),2,0,0,0,0
40,esophagus squamous epithelium female adult (51 years),2,0,0,0,0
9,gastrocnemius medialis female adult (51 years),2,0,0,0,0
18,gastroesophageal sphincter female adult (51 years),2,0,0,0,0
191,heart embryo (101 days),NA,NA,0,0,0
465,heart female embryo (91 days),2,0,0,0,0
23,heart left ventricle female adult (51 years),2,0,0,0,0
245,heart left ventricle female embryo (101 days) and female embryo (103 days),2,0,0,0,0
541,heart male embryo (91 days),1,1,0,0,0
222,heart right ventricle female embryo (101 days) and female embryo (103 days),2,0,0,0,0
438,kidney female embryo (121 days),2,0,0,0,0
278,large intestine female embryo (91 days),2,0,0,0,0
242,large intestine male embryo (91 days),1,1,0,0,0
108,layer of hippocampus male adult (81 years),1,1,0,0,0
314,left arm bone male embryo (81 days),1,1,0,0,0
337,left cardiac atrium female embryo (101 days),2,0,0,0,0
368,left kidney female embryo (59 days) and male embryo (91 days),NA,NA,0,0,0
422,left leg bone male embryo (81 days),1,1,0,0,0
276,left lung female embryo (91 days),2,0,0,0,0
424,left lung male embryo (91 days),1,1,0,0,0
249,liver female embryo (101 days) and female embryo (113 days),2,0,0,0,0
163,liver male adult (31 years),1,1,0,0,0
71,lower leg skin female adult (51 years),2,0,0,0,0
273,lung embryo (101 days),NA,NA,0,0,0
168,middle frontal area 46 male adult (81 years),1,1,0,0,0
118,mucosa of rectum female adult (61 years),2,0,0,0,0
369,muscle of arm embryo (101 days),NA,NA,0,0,0
304,muscle of arm male embryo (101 days),1,1,0,0,0
331,muscle of back male embryo (101 days),1,1,0,0,0
428,muscle of back male embryo (91 days),1,1,0,0,0
290,muscle of leg male embryo (101 days),1,1,0,0,0
485,muscle of trunk female embryo (121 days),2,0,0,0,0
740,natural killer cell male adult (21 years),1,1,0,0,0
7,omental fat pad female adult (51 years),2,0,0,0,0
57,ovary female adult (51 years),2,0,0,0,0
45,Peyer's patch female adult (51 years),2,0,0,0,0
268,placenta female embryo (101 days) and male embryo (105 days),NA,NA,0,0,0
385,placenta male embryo (91 days),1,1,0,0,0
306,renal cortex interstitium male embryo (91 days),1,1,0,0,0
371,renal pelvis male embryo (91 days),1,1,0,0,0
313,right arm bone male embryo (81 days),1,1,0,0,0
55,right atrium auricular region female adult (51 years),2,0,0,0,0
488,right kidney male embryo (91 days),1,1,0,0,0
481,right leg bone male embryo (81 days),1,1,0,0,0
352,right lung female embryo (91 days),2,0,0,0,0
771,8988T,2,0,0,1,1
764,A172,1,1,0,1,1
576,A549,1,1,0,1,1
693,A673,2,0,0,1,1
737,ACHN,1,1,0,1,1
630,AG04449,1,1,0,1,0
657,AG04450,1,1,0,1,0
785,AG08395,2,0,0,1,0
708,AG08396,2,0,0,1,0
639,AG09309,2,0,0,1,0
550,AG09319,2,0,0,1,0
705,AG10803,1,1,0,1,0
659,AG20443,1,1,0,1,0
360,brain embryo (56 days) and male embryo (58 days),NA,NA,0,0,0
680,C803,2,0,0,1,0
660,Caco-2,1,1,0,1,1
707,Caki2,1,1,0,1,1
557,cardiac muscle cell originated from RUES2,2,0,0,0,0
570,CD14-positive monocyte female,2,0,0,0,0
795,CMK,1,1,0,1,1
778,COLO829,1,1,0,1,1
787,"common myeloid progenitor, CD34-positive female",2,0,0,0,0
667,"common myeloid progenitor, CD34-positive male",1,1,0,0,0
800,CWRU1,1,1,0,1,0
797,D341Med,1,1,0,1,1
773,D721Med,1,1,0,1,1
691,Daoy,1,1,0,1,1
548,dermis microvascular lymphatic vessel endothelial cell female,2,0,0,0,0
562,dermis microvascular lymphatic vessel endothelial cell male,1,1,0,0,0
782,ecto neural progenitor cell originated from H9,2,0,0,0,0
617,EH,1,1,0,1,1
715,ELF-1,2,0,0,1,0
544,endocrine pancreas male,1,1,0,0,0
592,epithelial cell of prostate,1,1,0,0,0
272,eye embryo (56 days) and male embryo (76 days),NA,NA,0,0,0
702,fibroblast of mammary gland female,2,0,0,0,0
625,fibroblast of peridontal ligament male,1,1,0,0,0
598,fibroblast of the aortic adventitia female,2,0,0,0,0
678,G401,1,1,0,1,1
682,GM03348,1,1,0,1,0
