FANTOM5_sample_id	FANTOM5_sample_name	treatment	cell_line	cancer	sex	add	OnTarget_cell_or_tissue	comments
CNhs14406	293SLAM rinderpest infection, 00hr, biol_rep1					No		time courses
CNhs14407	293SLAM rinderpest infection, 00hr, biol_rep2					No		time courses
CNhs14408	293SLAM rinderpest infection, 00hr, biol_rep3					No		time courses
CNhs14410	293SLAM rinderpest infection, 06hr, biol_rep1					No		time courses
CNhs14411	293SLAM rinderpest infection, 06hr, biol_rep2					No		time courses
CNhs14412	293SLAM rinderpest infection, 06hr, biol_rep3					No		time courses
CNhs14413	293SLAM rinderpest infection, 12hr, biol_rep1					No		time courses
CNhs14414	293SLAM rinderpest infection, 12hr, biol_rep2					No		time courses
CNhs14415	293SLAM rinderpest infection, 12hr, biol_rep3					No		time courses
CNhs14416	293SLAM rinderpest infection, 24hr, biol_rep1					No		time courses
CNhs14417	293SLAM rinderpest infection, 24hr, biol_rep2					No		time courses
CNhs14418	293SLAM rinderpest infection, 24hr, biol_rep3					No		time courses
CNhs11844	acantholytic squamous carcinoma cell line:HCC1806	No	Yes	Yes	female	Yes	HCC1806	breast
CNhs13435	achilles tendon, donor2	No	No	No	male	Yes	tendon (achilles)	
CNhs11251	acute lymphoblastic leukemia (B-ALL) cell line:BALL-1	No	Yes	Yes	male	Yes	BALL-1	Adult B acute lymphoblastic leukemia
CNhs11282	acute lymphoblastic leukemia (B-ALL) cell line:NALM-6	No	Yes	Yes	male	Yes	NALM-6	Adult B acute lymphoblastic leukemia
CNhs10746	acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL	No	Yes	Yes	male	Yes	HPB-ALL	Childhood T acute lymphoblastic leukemia
CNhs11253	acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	No	Yes	Yes	male	Yes	Jurkat	Childhood T acute lymphoblastic leukemia
CNhs13241	acute myeloid leukemia (FAB M0) cell line:Kasumi-3	No	Yes	Yes	male	Yes	Kasumi-3	
CNhs13053	acute myeloid leukemia (FAB M0) cell line:KG-1	No	Yes	Yes	male	Yes	KG-1	
CNhs13054	acute myeloid leukemia (FAB M1) cell line:HYT-1	No	Yes	Yes	male	Yes	HYT-1	
CNhs13502	acute myeloid leukemia (FAB M2) cell line:Kasumi-1	No	Yes	Yes	male	Yes	Kasumi-1	
CNhs13052	acute myeloid leukemia (FAB M2) cell line:Kasumi-6	No	Yes	Yes	male	Yes	Kasumi-6	
CNhs11864	acute myeloid leukemia (FAB M2) cell line:NKM-1	No	Yes	Yes	male	Yes	NKM-1	
CNhs13055	acute myeloid leukemia (FAB M3) cell line:HL60	No	Yes	Yes	female	Yes	HL-60	
CNhs13503	acute myeloid leukemia (FAB M4) cell line:FKH-1	No	Yes	Yes	male	Yes	FKH-1	
CNhs13504	acute myeloid leukemia (FAB M4) cell line:HNT-34	No	Yes	Yes	female	Yes	HNT-34	
