File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001UWE	bed narrowPeak	peaks	ENCSR000EKF	DNase-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE												2228402	Gregory Crawford, Duke	1ee43ebd7320c516d6a0108b28047f85		https://www.encodeproject.org/files/ENCFF001UWE/@@download/ENCFF001UWE.bed.gz	hg19				archived	s3://encode-public/2011/01/11/eda6de4a-6c46-42c2-b4ce-1af17dcb404b/ENCFF001UWE.narrowPeak.gz				
ENCFF437GCZ	bed narrowPeak	peaks	ENCSR000EKF	DNase-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF282DOM, ENCFF967OQF	708778	ENCODE Processing Pipeline	7b8da196861147e89623dfa44da5e0cf		https://www.encodeproject.org/files/ENCFF437GCZ/@@download/ENCFF437GCZ.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/1d3407ce-3554-4dbb-be09-2bbaf7b5e258/ENCFF437GCZ.bed.gz				
ENCFF382IRS	bed narrowPeak	peaks	ENCSR000EKF	DNase-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF390DNP, ENCFF453NMY	713949	ENCODE Processing Pipeline	49825cb0dc91f12012ec0fd07c9834f5		https://www.encodeproject.org/files/ENCFF382IRS/@@download/ENCFF382IRS.bed.gz	hg19				released	s3://encode-public/2018/05/14/0033b786-951e-435a-bb44-fda60a67dc1e/ENCFF382IRS.bed.gz				
ENCFF018HAH	bed narrowPeak	peaks	ENCSR000EKF	DNase-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF282DOM, ENCFF967OQF	709382	ENCODE Processing Pipeline	f452c294f76195fc033a54e540c1833b		https://www.encodeproject.org/files/ENCFF018HAH/@@download/ENCFF018HAH.bed.gz	GRCh38				archived	s3://encode-public/2017/10/04/286b347e-3700-48e5-8bf3-60a7d0e3cbc4/ENCFF018HAH.bed.gz				
ENCFF437RUN	bed narrowPeak	peaks	ENCSR000EKF	DNase-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF390DNP, ENCFF453NMY	713910	ENCODE Processing Pipeline	0ae0dd819be69c90c9e5d1d9628c3750		https://www.encodeproject.org/files/ENCFF437RUN/@@download/ENCFF437RUN.bed.gz	hg19				archived	s3://encode-public/2017/10/05/c89b7b06-b52f-4829-8597-a0a2bb9b998a/ENCFF437RUN.bed.gz				
ENCFF751PUA	bed narrowPeak	peaks	ENCSR511GQA	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF899HTN, ENCFF967OQF	573368	ENCODE Processing Pipeline	2bd0f7361c391761bf2187486b96506c		https://www.encodeproject.org/files/ENCFF751PUA/@@download/ENCFF751PUA.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/2452ddc7-c85c-471d-a962-abc4031bd0bb/ENCFF751PUA.bed.gz				
ENCFF199RXV	bed narrowPeak	peaks	ENCSR511GQA	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF636FHS	572734	ENCODE Processing Pipeline	511b279d8f5420e3308a940f1c07ca7b		https://www.encodeproject.org/files/ENCFF199RXV/@@download/ENCFF199RXV.bed.gz	hg19				released	s3://encode-public/2018/05/14/a7024710-b5a9-403c-b8f6-fa9bf005eaac/ENCFF199RXV.bed.gz				
ENCFF908KXP	bed narrowPeak	peaks	ENCSR511GQA	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF636WUI	537908	ENCODE Processing Pipeline	725909f25f73acc77f2d903213ea8eba		https://www.encodeproject.org/files/ENCFF908KXP/@@download/ENCFF908KXP.bed.gz	hg19				archived	s3://encode-public/2016/11/18/0df07fd2-75ab-4003-a9f7-ce74f235af64/ENCFF908KXP.bed.gz				
ENCFF921FAL	bed narrowPeak	peaks	ENCSR511GQA	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF658RCI, ENCFF992CZQ	540612	ENCODE Processing Pipeline	a9940e1c2751b473091a92dd01aae69f		https://www.encodeproject.org/files/ENCFF921FAL/@@download/ENCFF921FAL.bed.gz	GRCh38				archived	s3://encode-public/2016/11/18/c825cb66-0d8a-4f3f-b9bf-2e33114a98f0/ENCFF921FAL.bed.gz				
ENCFF783TQZ	bed narrowPeak	peaks	ENCSR511GQA	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF899HTN, ENCFF967OQF	574414	ENCODE Processing Pipeline	aa5126c56d32c3eb0483ab4ac8f4a06c		https://www.encodeproject.org/files/ENCFF783TQZ/@@download/ENCFF783TQZ.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/db5de7d3-f1ab-4ed6-9bcc-e78fb14be251/ENCFF783TQZ.bed.gz				
ENCFF690IVT	bed narrowPeak	peaks	ENCSR511GQA	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF636FHS	572732	ENCODE Processing Pipeline	5c9ff586e1661467d88485d7e928baa1		https://www.encodeproject.org/files/ENCFF690IVT/@@download/ENCFF690IVT.bed.gz	hg19				archived	s3://encode-public/2017/09/19/f7ab10a0-3fc0-46b1-8d8f-12af68535043/ENCFF690IVT.bed.gz				
ENCFF457SNJ	bed narrowPeak	peaks	ENCSR062DUU	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF142HNG, ENCFF967OQF	731513	ENCODE Processing Pipeline	acb869cfba35cfdc9bfe9a350f5d0c3d		https://www.encodeproject.org/files/ENCFF457SNJ/@@download/ENCFF457SNJ.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/2ad849f5-ab9f-453b-ba93-8c7ce17d9134/ENCFF457SNJ.bed.gz				
ENCFF208QNH	bed narrowPeak	peaks	ENCSR062DUU	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF371NCW, ENCFF390DNP	731327	ENCODE Processing Pipeline	e72da30e4663e4c89a71c04d0300182f		https://www.encodeproject.org/files/ENCFF208QNH/@@download/ENCFF208QNH.bed.gz	hg19				released	s3://encode-public/2018/05/14/44ac043d-7fa4-4609-b291-e084e179b1f5/ENCFF208QNH.bed.gz				
ENCFF929JWE	bed narrowPeak	peaks	ENCSR062DUU	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF963BSI	701528	ENCODE Processing Pipeline	2550a3ba24783ea02cab84cfdf70242b		https://www.encodeproject.org/files/ENCFF929JWE/@@download/ENCFF929JWE.bed.gz	hg19				archived	s3://encode-public/2016/11/18/1cf0731d-7a2b-4de1-ba6a-6ee56917b373/ENCFF929JWE.bed.gz				
